Tokens,Tags,Polarities
"['I', 'even', 'got', 'my', 'teenage', 'son', 'one', ',', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ',', 'like', ',', 'iChat', ',', 'Photobooth', ',', 'garage', 'band', 'and', 'more', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['I', 'even', 'got', 'my', 'teenage', 'son', 'one', ',', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ',', 'like', ',', 'iChat', ',', 'Photobooth', ',', 'garage', 'band', 'and', 'more', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1]"
"['I', 'even', 'got', 'my', 'teenage', 'son', 'one', ',', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ',', 'like', ',', 'iChat', ',', 'Photobooth', ',', 'garage', 'band', 'and', 'more', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1]"
"['I', 'even', 'got', 'my', 'teenage', 'son', 'one', ',', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ',', 'like', ',', 'iChat', ',', 'Photobooth', ',', 'garage', 'band', 'and', 'more', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1]"
"['Great', 'laptop', 'that', 'offers', 'many', 'great', 'features', '!']","[0, 0, 0, 0, 0, 0, 1, 0]","[-1, -1, -1, -1, -1, -1, 2, -1]"
"['One', 'night', 'I', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ',', 'the', 'next', 'day', 'I', 'turn', 'it', 'on', ',', 'no', 'GUI', ',', 'screen', 'all', 'dark', ',', 'power', 'light', 'steady', ',', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['One', 'night', 'I', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ',', 'the', 'next', 'day', 'I', 'turn', 'it', 'on', ',', 'no', 'GUI', ',', 'screen', 'all', 'dark', ',', 'power', 'light', 'steady', ',', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['One', 'night', 'I', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ',', 'the', 'next', 'day', 'I', 'turn', 'it', 'on', ',', 'no', 'GUI', ',', 'screen', 'all', 'dark', ',', 'power', 'light', 'steady', ',', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['One', 'night', 'I', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ',', 'the', 'next', 'day', 'I', 'turn', 'it', 'on', ',', 'no', 'GUI', ',', 'screen', 'all', 'dark', ',', 'power', 'light', 'steady', ',', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['My', 'only', 'disappointment', 'with', 'the', '13', ""''"", 'model', 'is', 'that', 'they', ""'re"", 'the', 'only', 'ones', 'in', 'the', 'MacBook', 'Pro', 'line', 'up', 'without', 'an', 'i5', 'or', 'i7', 'processor', 'and', 'dual', 'graphics', 'cards', ',', 'however', 'the', 'trade-off', 'is', 'that', 'you', 'achieve', 'a', 'longer', 'battery', 'life', '-LRB-', 'of', 'about', '2', 'more', 'hours', '-RRB-', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['My', 'only', 'disappointment', 'with', 'the', '13', ""''"", 'model', 'is', 'that', 'they', ""'re"", 'the', 'only', 'ones', 'in', 'the', 'MacBook', 'Pro', 'line', 'up', 'without', 'an', 'i5', 'or', 'i7', 'processor', 'and', 'dual', 'graphics', 'cards', ',', 'however', 'the', 'trade-off', 'is', 'that', 'you', 'achieve', 'a', 'longer', 'battery', 'life', '-LRB-', 'of', 'about', '2', 'more', 'hours', '-RRB-', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['My', 'only', 'disappointment', 'with', 'the', '13', ""''"", 'model', 'is', 'that', 'they', ""'re"", 'the', 'only', 'ones', 'in', 'the', 'MacBook', 'Pro', 'line', 'up', 'without', 'an', 'i5', 'or', 'i7', 'processor', 'and', 'dual', 'graphics', 'cards', ',', 'however', 'the', 'trade-off', 'is', 'that', 'you', 'achieve', 'a', 'longer', 'battery', 'life', '-LRB-', 'of', 'about', '2', 'more', 'hours', '-RRB-', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1]"
"['I', 'took', 'it', 'back', 'for', 'an', 'Asus', 'and', 'same', 'thing', '-', 'blue', 'screen', 'which', 'required', 'me', 'to', 'remove', 'the', 'battery', 'to', 'reset', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1]"
"['In', 'the', 'shop', ',', 'these', 'MacBooks', 'are', 'encased', 'in', 'a', 'soft', 'rubber', 'enclosure', '-', 'so', 'you', 'will', 'never', 'know', 'about', 'the', 'razor', 'edge', 'until', 'you', 'buy', 'it', ',', 'get', 'it', 'home', ',', 'break', 'the', 'seal', 'and', 'use', 'it', '-LRB-', 'very', 'clever', 'con', '-RRB-', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['In', 'the', 'shop', ',', 'these', 'MacBooks', 'are', 'encased', 'in', 'a', 'soft', 'rubber', 'enclosure', '-', 'so', 'you', 'will', 'never', 'know', 'about', 'the', 'razor', 'edge', 'until', 'you', 'buy', 'it', ',', 'get', 'it', 'home', ',', 'break', 'the', 'seal', 'and', 'use', 'it', '-LRB-', 'very', 'clever', 'con', '-RRB-', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['However', ',', 'the', 'multi-touch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', '-LRB-', 'unless', 'you', ""'re"", 'gaming', '-RRB-', '.']","[0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0]","[-1, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['However', ',', 'the', 'multi-touch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', '-LRB-', 'unless', 'you', ""'re"", 'gaming', '-RRB-', '.']","[0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['However', ',', 'the', 'multi-touch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', '-LRB-', 'unless', 'you', ""'re"", 'gaming', '-RRB-', '.']","[0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['However', ',', 'the', 'multi-touch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', '-LRB-', 'unless', 'you', ""'re"", 'gaming', '-RRB-', '.']","[0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1]"
"['I', 'love', 'the', 'way', 'the', 'entire', 'suite', 'of', 'software', 'works', 'together', '.']","[0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, 2, 2, 2, -1, -1, -1]"
"['The', 'speed', 'is', 'incredible', 'and', 'I', 'am', 'more', 'than', 'satisfied', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['This', 'laptop', 'meets', 'every', 'expectation', 'and', 'Windows', '7', 'is', 'great', '!']","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, 2, 2, -1, -1, -1]"
"['I', 'can', 'barely', 'use', 'any', 'usb', 'devices', 'because', 'they', 'will', 'not', 'stay', 'connected', 'properly', '.']","[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]"
"['When', 'I', 'finally', 'had', 'everything', 'running', 'with', 'all', 'my', 'software', 'installed', 'I', 'plugged', 'in', 'my', 'droid', 'to', 'recharge', 'and', 'the', 'system', 'crashed', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['When', 'I', 'finally', 'had', 'everything', 'running', 'with', 'all', 'my', 'software', 'installed', 'I', 'plugged', 'in', 'my', 'droid', 'to', 'recharge', 'and', 'the', 'system', 'crashed', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1]"
"['One', 'suggestion', 'I', 'do', 'have', ',', 'is', 'to', 'not', 'bother', 'getting', 'Microsoft', 'office', 'for', 'the', 'mac', 'expecting', 'it', 'will', 'work', 'just', 'like', 'you', 'knew', 'it', 'to', 'on', 'a', 'PC', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['Pairing', 'it', 'with', 'an', 'iPhone', 'is', 'a', 'pure', 'pleasure', '-', 'talk', 'about', 'painless', 'syncing', '-', 'used', 'to', 'take', 'me', 'forever', '-', 'now', 'it', ""'s"", 'a', 'snap', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['I', 'also', 'got', 'the', 'added', 'bonus', 'of', 'a', ""30'"", 'HD', 'Monitor', ',', 'which', 'really', 'helps', 'to', 'extend', 'my', 'screen', 'and', 'keep', 'my', 'eyes', 'fresh', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['I', 'also', 'got', 'the', 'added', 'bonus', 'of', 'a', ""30'"", 'HD', 'Monitor', ',', 'which', 'really', 'helps', 'to', 'extend', 'my', 'screen', 'and', 'keep', 'my', 'eyes', 'fresh', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]"
"['The', 'machine', 'is', 'slow', 'to', 'boot', 'up', 'and', 'occasionally', 'crashes', 'completely', '.']","[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1]"
"['After', 'paying', 'several', 'hundred', 'dollars', 'for', 'this', 'service', ',', 'it', 'is', 'frustrating', 'that', 'you', 'can', 'not', 'get', 'help', 'after', 'hours', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['I', 'love', 'the', 'operating', 'system', 'and', 'the', 'preloaded', 'software', '.']","[0, 0, 0, 1, 2, 0, 0, 1, 2, 0]","[-1, -1, -1, 2, 2, -1, -1, -1, -1, -1]"
"['I', 'love', 'the', 'operating', 'system', 'and', 'the', 'preloaded', 'software', '.']","[0, 0, 0, 1, 2, 0, 0, 1, 2, 0]","[-1, -1, -1, -1, -1, -1, -1, 2, 2, -1]"
"['The', 'best', 'thing', 'about', 'this', 'laptop', 'is', 'the', 'price', 'along', 'with', 'some', 'of', 'the', 'newer', 'features', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1]"
"['The', 'best', 'thing', 'about', 'this', 'laptop', 'is', 'the', 'price', 'along', 'with', 'some', 'of', 'the', 'newer', 'features', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1]"
"['After', 'numerous', 'attempts', 'of', 'trying', '-LRB-', 'including', 'setting', 'the', 'clock', 'in', 'BIOS', 'setup', 'directly', '-RRB-', ',', 'I', 'gave', 'up', '-LRB-', 'I', 'am', 'a', 'techie', '-RRB-', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"['YOU', 'WILL', 'NOT', 'BE', 'ABLE', 'TO', 'TALK', 'TO', 'AN', 'AMERICAN', 'WARRANTY', 'SERVICE', 'IS', 'OUT', 'OF', 'COUNTRY', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1]"
"['but', 'now', 'i', 'have', 'realized', 'its', 'a', 'problem', 'with', 'this', 'brand', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1]"
